,Unnamed: 0,ticker,option_symbol,expiry,strike,type,is_itm,entry_range,ask,model_prob,tp_target,sl_target,impliedVolatility,kelly_fraction,expected_profit,run_timestamp,iv,volatility_regime
493,493,SPY,SPY260130P00707000,2026-01-30,707.0,put,True,$14.75 - $16.55,16.55,0.845,648.7019549331241,15.422003059171502,0.1141446008300781,0.1297541449444915,0.8910085453499564,2026-01-18 23:16:55.682196,,
494,494,SPY,SPY260130P00710000,2026-01-30,710.0,put,True,$18.17 - $18.57,18.57,0.86,651.8877412126633,18.16914755596852,0.0842376733398437,0.1314549517097845,1.0445092891013337,2026-01-18 23:16:55.682196,,
603,603,SPY,SPY260206P00687000,2026-02-06,687.0,put,False,$6.10 - $6.13,6.13,0.7,627.6715359947165,4.875926507129377,0.1282130636596679,0.0011249700980381,0.0055352306075949,2026-01-18 23:16:55.682196,,
604,604,SPY,SPY260206P00688000,2026-02-06,688.0,put,False,$6.40 - $6.43,6.43,0.705,628.7123449916343,5.248696221001116,0.1262294409179687,0.0170783988606712,0.0902609637011429,2026-01-18 23:16:55.682196,,
605,605,SPY,SPY260206P00689000,2026-02-06,689.0,put,False,$6.71 - $6.74,6.74,0.71,629.7540205557038,5.641914959908336,0.1241237490844726,0.0537423555796602,0.3033629438252713,2026-01-18 23:16:55.682196,,
606,606,SPY,SPY260206P00690000,2026-02-06,690.0,put,False,$7.03 - $7.07,7.07,0.715,630.796853152423,6.063143866230478,0.1220485745239257,0.1332318308976086,0.7911258484643381,2026-01-18 23:16:55.682196,,
607,607,SPY,SPY260206P00691000,2026-02-06,691.0,put,False,$7.38 - $7.42,7.42,0.715,631.840836847098,6.513445398129006,0.1200039172363281,0.1430381162268784,0.905099852197939,2026-01-18 23:16:55.682196,,
608,608,SPY,SPY260206P00692000,2026-02-06,692.0,put,True,$7.74 - $7.79,7.79,0.715,632.8859090233597,6.992507703026016,0.1179592599487304,0.1511430783065045,1.0160859249483964,2026-01-18 23:16:55.682196,,
609,609,SPY,SPY260206P00693000,2026-02-06,693.0,put,True,$8.13 - $8.17,8.17,0.73,633.931737750976,7.493951117085567,0.1157314990234375,0.1585581081642581,1.1302767524698156,2026-01-18 23:16:55.682196,,
610,610,SPY,SPY260206P00694000,2026-02-06,694.0,put,True,$8.53 - $8.58,8.58,0.735,634.9789178189625,8.031996824456433,0.1136563244628906,0.1637814269423481,1.23302741566826,2026-01-18 23:16:55.682196,,
611,611,SPY,SPY260206P00695000,2026-02-06,695.0,put,True,$8.96 - $9.00,9.0,0.735,636.02674526725,8.592072449628299,0.1113370117187499,0.16845656098473,1.3369232892876144,2026-01-18 23:16:55.682196,,
612,612,SPY,SPY260206P00696000,2026-02-06,696.0,put,True,$9.35 - $9.54,9.54,0.74,637.0782975458501,9.238434020584476,0.1105740798950195,0.1646533590533332,1.3583465837221085,2026-01-18 23:16:55.682196,,
613,613,SPY,SPY260206P00697000,2026-02-06,697.0,put,True,$9.81 - $10.02,10.02,0.745,638.1285784873805,9.86681496483097,0.1084683880615234,0.1659916449973422,1.432063835652734,2026-01-18 23:16:55.682196,,
614,614,SPY,SPY260206P00698000,2026-02-06,698.0,put,True,$10.20 - $10.53,10.53,0.755,639.179955826145,10.527138215304369,0.1063932135009765,0.1656287904150805,1.4886376908024024,2026-01-18 23:16:55.682196,,
615,615,SPY,SPY260206P00699000,2026-02-06,699.0,put,True,$10.61 - $11.06,11.06,0.755,640.2322695750275,11.216142017712883,0.1042570043945312,0.1644817415554927,1.5359494985435542,2026-01-18 23:16:55.682196,,
616,616,SPY,SPY260206P00700000,2026-02-06,700.0,put,True,$11.26 - $11.57,11.57,0.76,641.2841818072004,11.912806611250724,0.1012357943725585,0.1648252465185531,1.6025502908437133,2026-01-18 23:16:55.682196,,
721,721,SPY,SPY260213P00694000,2026-02-13,694.0,put,True,$9.82 - $9.87,9.87,0.705,634.9187607819683,5.065981508227967,0.1150906362915039,0.00482266323185,0.0371185738735981,2026-01-18 23:16:55.682196,,
722,722,SPY,SPY260213P00695000,2026-02-13,695.0,put,True,$10.23 - $10.28,10.28,0.705,635.9608194166806,5.354544996290503,0.1131070135498047,0.0120705915854658,0.0976982663149765,2026-01-18 23:16:55.682196,,
723,723,SPY,SPY260213P00696000,2026-02-13,696.0,put,True,$10.66 - $10.71,10.71,0.71,637.0037121953964,5.659162358602565,0.1111233908081054,0.0635548061263623,0.5345131468236282,2026-01-18 23:16:55.682196,,
724,724,SPY,SPY260213P00697000,2026-02-13,697.0,put,True,$10.86 - $11.47,11.47,0.71,638.0560680955577,6.186924460117595,0.1133511517333984,0.0420007764989884,0.3603149018647477,2026-01-18 23:16:55.682196,,
725,725,SPY,SPY260213P00698000,2026-02-13,698.0,put,True,$11.29 - $11.85,11.85,0.715,639.098014572273,6.500525095193625,0.1101163208007812,0.0767467645815412,0.6885038257522356,2026-01-18 23:16:55.682196,,
726,726,SPY,SPY260213P00700000,2026-02-13,700.0,put,True,$12.50 - $13.12,13.12,0.73,641.1972891542049,7.488375637325067,0.1098721826171875,0.0601129448801314,0.5709947306169508,2026-01-18 23:16:55.682196,,
727,727,SPY,SPY260213P00702000,2026-02-13,702.0,put,True,$13.20 - $14.34,14.34,0.755,643.2962484818022,8.469325921033517,0.1078275253295898,0.0506080179005452,0.5101355278574157,2026-01-18 23:16:55.682196,,
729,729,SPY,SPY-SPOT,,691.6599731445312,spot_long,True,$691.66,691.6599731445312,0.65,758.3444919862322,621.5577016099747,,0.0033775092434096,385.94681084500615,2026-01-18 23:16:55.865950,,Normal
842,842,QQQ,QQQ260121P00624000,2026-01-21,624.0,put,True,$4.73 - $4.79,4.79,0.755,564.9480264782142,3.3063405048540497,0.1191494335937499,0.054875147240264,0.1065327650281973,2026-01-18 23:17:06.745635,,
845,845,QQQ,QQQ260121P00627000,2026-01-21,627.0,put,True,$4.91 - $7.00,7.0,0.82,568.1714217755411,5.851846520679265,0.1221401263427734,0.0504293339041937,0.1253629475533906,2026-01-18 23:17:06.745635,,
850,850,QQQ,QQQ260122C00610000,2026-01-22,610.0,call,True,$11.72 - $12.53,12.53,0.395,12.807135553808424,0.0,0.1827474304199218,1.347048534977994,7.700197214257591,2026-01-18 23:17:06.745635,,
1023,1023,QQQ,QQQ260126C00615000,2026-01-26,615.0,call,True,$9.56 - $9.64,9.64,0.375,11.465752222827106,0.0,0.158638784790039,0.8975549530904626,10.481936131793397,2026-01-18 23:17:06.745635,,
1024,1024,QQQ,QQQ260126C00620000,2026-01-26,620.0,call,True,$6.15 - $6.20,6.2,0.34,7.198806100475097,0.0,0.145516357421875,0.8427191197816228,9.935197940427797,2026-01-18 23:17:06.745635,,
1025,1025,QQQ,QQQ260126C00625000,2026-01-26,625.0,call,False,$3.43 - $3.47,3.47,0.31,3.6948352254407366,0.0,0.1333704827880859,0.6144527441916272,8.655133754987721,2026-01-18 23:17:06.745635,,
1206,1206,QQQ,QQQ260206C00545000,2026-02-06,545.0,call,True,$76.22 - $79.61,79.61,0.5,81.96075152712395,4.2831790612419574e-201,0.4651542742919922,0.9736921468077868,9.121732555262522,2026-01-18 23:17:06.745635,,
1207,1207,QQQ,QQQ260206C00560000,2026-02-06,560.0,call,True,$61.59 - $65.01,65.01,0.5,67.11454143078046,1.4995352184858796e-268,0.4068052484130859,0.6461889828416151,7.321804447215797,2026-01-18 23:17:06.745635,,
1208,1208,QQQ,QQQ260206C00580000,2026-02-06,580.0,call,True,$42.67 - $46.10,46.1,0.465,47.557304257799515,0.0,0.3368596588134765,0.5764975918943918,7.73448570344384,2026-01-18 23:17:06.745635,,
